Position,Points,Name,Known.For,Birth.Date,Wiki_Name
593,1018,Yolande Moreau,Quand la mer monte...,27/02/1953,Yolande_Moreau
594,1016,Sondra Locke,Every Which Way but Loose,28/05/1944,Sondra_Locke
595,1014,Nastassja Kinski,Tess,24/01/1961,Nastassja_Kinski
596,990,Miou-Miou,La science des rêves,22/02/1950,Miou-Miou
597,990,Shuzhen Zhao,The Farewell,,Shuzhen_Zhao
598,990,Awkwafina,Ocean's Eight,02/06/1988,Awkwafina
599,984,Angela Lansbury,The Manchurian Candidate,16/10/1925,Angela_Lansbury
600,979,Selena Gomez,Spring Breakers,22/07/1992,Selena_Gomez
601,979,Megan Ferguson,Curb Your Enthusiasm,,Megan_Ferguson
602,977,Carice van Houten,Game of Thrones,05/09/1976,Carice_van_Houten
603,975,Jean Seberg,À bout de souffle,13/11/1938,Jean_Seberg
604,974,Sandahl Bergman,Conan the Barbarian,14/11/1951,Sandahl_Bergman
605,965,Lee Grant,In the Heat of the Night,31/10/1925,Lee_Grant
606,961,Natasha Richardson,Asylum,11/05/1963,Natasha_Richardson
607,959,Lili Simmons,Banshee,23/07/1993,Lili_Simmons
608,955,Simone Signoret,Les diaboliques,25/03/1921,Simone_Signoret
609,953,Bojana Novakovic,Devil,12/07/1981,Bojana_Novakovic
610,951,Anita Ekberg,La dolce vita,29/09/1931,Anita_Ekberg
611,945,Sakura Andô,Manbiki kazoku,18/02/1986,Sakura_Andô
612,945,Kirin Kiki,Manbiki kazoku,15/01/1943,Kirin_Kiki
613,942,Anne Archer,Fatal Attraction,24/08/1947,Anne_Archer
614,933,Aura Garrido,El ministerio del tiempo,29/05/1989,Aura_Garrido
615,908,Priyanka Chopra Jonas,Baywatch,18/07/1982,Priyanka_Chopra_Jonas
616,900,Nina Hoss,Phoenix,07/07/1975,Nina_Hoss
617,889,Mirjana Jokovic,Maid in Manhattan,24/11/1967,Mirjana_Jokovic
618,889,Mirjana Karanovic,Dobra zena,28/01/1957,Mirjana_Karanovic
619,888,Sally Kellerman,M*A*S*H,02/06/1937,Sally_Kellerman
620,884,Alba Rohrwacher,Hungry Hearts,27/02/1979,Alba_Rohrwacher
621,884,Kasia Smutniak,Perfetti sconosciuti,13/08/1979,Kasia_Smutniak
622,881,Maria Falconetti,La passion de Jeanne d'Arc,1892-07-21,Maria_Falconetti
623,877,Brigitte Lin,Ging chaat goo si,03/11/1954,Brigitte_Lin
624,875,Mae Clarke,Frankenstein,16/08/1910,Mae_Clarke
625,869,Solveig Dommartin,Bis ans Ende der Welt,16/05/1961,Solveig_Dommartin
626,862,Carole Bouquet,For Your Eyes Only,18/08/1957,Carole_Bouquet
627,860,Rita Tushingham,The Knack ...and How to Get It,14/03/1942,Rita_Tushingham
628,858,Alicia Silverstone,Clueless,04/10/1976,Alicia_Silverstone
629,850,Goldie Hawn,Private Benjamin,21/11/1945,Goldie_Hawn
630,841,Fay Wray,King Kong,15/09/1907,Fay_Wray
631,840,Beyoncé,Dreamgirls,04/09/1981,Beyoncé
632,840,Jennifer Hudson,Dreamgirls,12/09/1981,Jennifer_Hudson
633,838,Béatrice Dalle,À l'intérieur,19/12/1964,Béatrice_Dalle
634,837,Lil Dagover,Das Cabinet des Dr. Caligari,1887-09-30,Lil_Dagover
635,832,Neve Campbell,Scream,03/10/1973,Neve_Campbell
636,828,Priscilla Lane,Arsenic and Old Lace,12/06/1915,Priscilla_Lane
637,818,Angie Dickinson,Rio Bravo,30/09/1931,Angie_Dickinson
638,814,Nanako Matsushima,Ringu,13/10/1973,Nanako_Matsushima
639,814,Miki Nakatani,Kiraware Matsuko no isshô,12/01/1976,Miki_Nakatani
640,814,Yûko Takeuchi,Saido kâ ni inu,01/04/1980,Yûko_Takeuchi
641,808,Myrna Loy,The Thin Man,02/08/1905,Myrna_Loy
642,808,Janet Gaynor,A Star Is Born,06/10/1906,Janet_Gaynor
643,799,Pamela Anderson,Barb Wire,01/07/1967,Pamela_Anderson
644,792,Mira Sorvino,Mighty Aphrodite,28/09/1967,Mira_Sorvino
645,785,Leticia Brédice,Nueve reinas,26/08/1972,Leticia_Brédice
646,776,Kerry Fox,Shallow Grave,30/07/1966,Kerry_Fox
647,774,Susan George,Straw Dogs,26/07/1950,Susan_George
648,760,Lily Collins,The Mortal Instruments: City of Bones,18/03/1989,Lily_Collins
649,756,Jessica Harper,Suspiria,10/10/1949,Jessica_Harper
650,756,Joan Bennett,Suspiria,27/02/1910,Joan_Bennett
651,753,Doris Day,Love Me or Leave Me,03/04/1922,Doris_Day
652,748,Faye Wong,Chung Hing sam lam,08/08/1969,Faye_Wong
653,743,Kim Stanley,Seance on a Wet Afternoon,11/02/1925,Kim_Stanley
654,739,Gugu Mbatha-Raw,Belle,21/04/1983,Gugu_Mbatha-Raw
655,738,Lily Tomlin,Nashville,01/09/1939,Lily_Tomlin
656,738,Annie Ross,Short Cuts,25/07/1930,Annie_Ross
657,738,Lori Singer,Footloose,06/11/1957,Lori_Singer
658,732,Liza Minnelli,Cabaret,12/03/1946,Liza_Minnelli
659,729,Yeong-hie Seo,Chugyeokja,13/06/1980,Yeong-hie_Seo
660,721,Joan Crawford,What Ever Happened to Baby Jane?,23/03/1905,Joan_Crawford
661,721,Claire Bloom,Clash of the Titans,15/02/1931,Claire_Bloom
662,714,Anne Dorval,Mommy,08/11/1960,Anne_Dorval
663,714,Suzanne Clément,Mommy,12/05/1969,Suzanne_Clément
664,709,Lisa Blount,An Officer and a Gentleman,01/07/1957,Lisa_Blount
665,709,Lisa Eilbacher,Beverly Hills Cop,05/05/1956,Lisa_Eilbacher
666,705,Norah Jones,Ted,30/03/1979,Norah_Jones
667,702,Natalie Morales,Parks and Recreation,15/02/1985,Natalie_Morales
668,700,Linda Kozlowski,Crocodile Dundee,07/01/1958,Linda_Kozlowski
669,695,Seung-Yun Lee,Bin-jip,18/08/1968,Seung-Yun_Lee
670,688,Rosalind Russell,Auntie Mame,04/06/1907,Rosalind_Russell
671,685,Agnieszka Grochowska,Obce niebo,31/12/1979,Agnieszka_Grochowska
672,682,Joanna Going,Kingdom,22/07/1963,Joanna_Going
673,680,Nadia Farès,Les rivières pourpres,20/12/1968,Nadia_Farès
674,680,Dominique Sanda,Il conformista,11/03/1951,Dominique_Sanda
675,676,Mary J. Blige,Mudbound,11/01/1971,Mary_J._Blige
676,671,Julia Dietze,Iron Sky,09/01/1981,Julia_Dietze
677,668,Mary Tyler Moore,Ordinary People,29/12/1936,Mary_Tyler_Moore
678,665,Laetitia Casta,Arbitrage,11/05/1978,Laetitia_Casta
679,658,Adriana Ugarte,Julieta,17/01/1985,Adriana_Ugarte
680,646,Geneviève Bujold,Dead Ringers,01/07/1942,Geneviève_Bujold
681,645,Hayley Atwell,Captain America: The First Avenger,05/04/1982,Hayley_Atwell
682,640,Margaret Lockwood,The Lady Vanishes,15/09/1916,Margaret_Lockwood
683,635,Sibel Kekilli,Gegen die Wand,16/06/1980,Sibel_Kekilli
684,629,Anne Parillaud,Nikita,06/05/1960,Anne_Parillaud
685,628,Deborah Kerr,The King and I,30/09/1921,Deborah_Kerr
686,628,Melanie Griffith,Working Girl,09/08/1957,Melanie_Griffith
687,627,Maud Adams,Octopussy,12/02/1945,Maud_Adams
688,621,Valerie Hobson,Bride of Frankenstein,14/04/1917,Valerie_Hobson
689,616,Veerle Baetens,The Broken Circle Breakdown,24/01/1978,Veerle_Baetens
690,613,Oksana Akinshina,Lilja 4-ever,19/04/1987,Oksana_Akinshina
691,612,Madeleine Carroll,The 39 Steps,26/02/1906,Madeleine_Carroll
692,612,Grace Van Patten,Under the Silver Lake,21/11/1996,Grace_Van_Patten
693,612,Elizabeth Marvel,True Grit,27/11/1969,Elizabeth_Marvel
694,607,Mélanie Thierry,The Zero Theorem,17/07/1981,Mélanie_Thierry
695,604,Mercedes Ruehl,The Fisher King,28/02/1948,Mercedes_Ruehl
696,603,Capucine,The Pink Panther,06/01/1928,Capucine
697,601,Sarah Miles,Ryan's Daughter,31/12/1941,Sarah_Miles
698,601,Tika Sumpter,Southside with You,20/06/1980,Tika_Sumpter
699,600,Laia Costa,Victoria,18/02/1985,Laia_Costa
700,595,Linda Zilliacus,Ondskan,25/04/1977,Linda_Zilliacus
701,589,Yum Jung-ah,"Janghwa, Hongryeon",28/07/1972,Yum_Jung-ah
702,588,Nimrat Kaur,The Lunchbox,13/03/1982,Nimrat_Kaur
703,587,Mary Beth Hurt,The World According to Garp,26/09/1946,Mary_Beth_Hurt
704,585,Julie Harris,The Haunting,02/12/1925,Julie_Harris
705,585,Jo Van Fleet,East of Eden,29/12/1915,Jo_Van_Fleet
706,584,Gene Tierney,Laura,19/11/1920,Gene_Tierney
707,584,Bárbara Goenaga,Los cronocrímenes,20/07/1983,Bárbara_Goenaga
708,571,Agata Kulesza,Ida,27/09/1971,Agata_Kulesza
709,571,Joanna Kulig,Zimna wojna,24/06/1982,Joanna_Kulig
710,571,Keisha Castle-Hughes,Whale Rider,24/03/1990,Keisha_Castle-Hughes
711,570,Lynn Redgrave,Gods and Monsters,08/03/1943,Lynn_Redgrave
712,568,Claire Trevor,Key Largo,08/03/1910,Claire_Trevor
713,564,Geneviève Page,Belle de jour,13/12/1927,Geneviève_Page
714,563,Agnes Kittelsen,Max Manus,20/05/1980,Agnes_Kittelsen
715,557,Dakota Johnson,Fifty Shades of Grey,04/10/1989,Dakota_Johnson
716,556,Merna Kennedy,The Circus,07/09/1908,Merna_Kennedy
717,552,Sophia Loren,La ciociara,20/09/1934,Sophia_Loren
718,552,Maria Schneider,Ultimo tango a Parigi,27/03/1952,Maria_Schneider
719,546,Alexandra Vandernoot,Highlander,19/09/1965,Alexandra_Vandernoot
720,546,Catherine Frot,Marguerite,01/05/1956,Catherine_Frot
721,544,Tatum O'Neal,Paper Moon,05/11/1963,Tatum_O'Neal
722,543,Vanessa Kirby,The Crown,18/04/1988,Vanessa_Kirby
723,538,Cherie Lunghi,Excalibur,04/04/1952,Cherie_Lunghi
724,536,Emma Catherine Rigby,Hollyoaks,26/09/1989,Emma_Catherine_Rigby
725,533,Sandra Hüller,Toni Erdmann,30/04/1978,Sandra_Hüller
726,532,Jeanne Moreau,Jules et Jim,23/01/1928,Jeanne_Moreau
727,532,Dana Wynter,Invasion of the Body Snatchers,08/06/1931,Dana_Wynter
728,532,Misa Uehara,Kakushi-toride no san-akunin,26/03/1937,Misa_Uehara
729,531,Sigrid Bouaziz,Personal Shopper,,Sigrid_Bouaziz
730,531,Nora Waldstätten,Personal Shopper,01/12/1981,Nora_Waldstätten
731,523,Rachel Roberts,Murder on the Orient Express,20/09/1927,Rachel_Roberts
732,518,Helena Zengel,News of the World,10/06/2008,Helena_Zengel
733,517,Jane Wyman,Falcon Crest,05/01/1917,Jane_Wyman
734,515,Maureen O'Hara,Miracle on 34th Street,17/08/1920,Maureen_O'Hara
735,513,Lynn Collins,X-Men Origins: Wolverine,16/05/1977,Lynn_Collins
736,513,Zuleikha Robinson,Hidalgo,,Zuleikha_Robinson
737,512,Mia Sara,Timecop,19/06/1967,Mia_Sara
738,510,Celia Johnson,Brief Encounter,18/12/1908,Celia_Johnson
739,510,Judith Godrèche,The Overnight,23/03/1972,Judith_Godrèche
740,509,Zendaya,Spider-Man: Homecoming,01/09/1996,Zendaya
741,507,Katja Riemann,Fack ju Göhte,01/11/1963,Katja_Riemann
742,507,Sidse Babett Knudsen,Borgen,22/11/1968,Sidse_Babett_Knudsen
743,502,Johanna Wokalek,Der Baader Meinhof Komplex,03/03/1975,Johanna_Wokalek
744,502,Nadja Uhl,Der Baader Meinhof Komplex,23/05/1972,Nadja_Uhl
745,501,Magali Noël,Amarcord,27/06/1931,Magali_Noël
