Position,Points,Name,Known.For,Birth.Date,Wiki_Name
254,15020,Sharlto Copley,District 9,27/11/1973,Sharlto_Copley
255,15013,Eddie Redmayne,Les Misérables,06/01/1982,Eddie_Redmayne
256,14998,Paul Newman,The Hustler,26/01/1925,Paul_Newman
257,14880,Matthew Goode,Stoker,03/04/1978,Matthew_Goode
258,14860,Ed Helms,The Hangover,24/01/1974,Ed_Helms
259,14860,Justin Bartha,National Treasure,21/07/1978,Justin_Bartha
260,14822,Robert Redford,The Natural,18/08/1936,Robert_Redford
261,14731,Tobey Maguire,Brothers,27/06/1975,Tobey_Maguire
262,14678,Kenneth Branagh,Henry V,10/12/1960,Kenneth_Branagh
263,14661,Chris Evans,The Avengers,13/06/1981,Chris_Evans
264,14520,Sylvester Stallone,Rocky,06/07/1946,Sylvester_Stallone
265,14481,Martin Balsam,All the President's Men,04/11/1919,Martin_Balsam
266,14362,Claude Rains,Casablanca,1889-11-10,Claude_Rains
267,14240,Gael García Bernal,Mozart in the Jungle,30/11/1978,Gael_García_Bernal
268,14227,Andrew Garfield,Hacksaw Ridge,20/08/1983,Andrew_Garfield
269,14118,Karl Markovics,Die Fälscher,29/08/1963,Karl_Markovics
270,14055,Lee Van Cleef,Escape from New York,09/01/1925,Lee_Van_Cleef
271,14044,Humphrey Bogart,Casablanca,1899-12-25,Humphrey_Bogart
272,14030,Adam Baldwin,Serenity,27/02/1962,Adam_Baldwin
273,13981,Richard Jenkins,The Shape of Water,04/05/1947,Richard_Jenkins
274,13533,Stephen Baldwin,The Usual Suspects,12/05/1966,Stephen_Baldwin
275,13456,Bruno Ganz,Der Untergang,22/03/1941,Bruno_Ganz
276,13294,Justin Theroux,Mulholland Dr.,10/08/1971,Justin_Theroux
277,13149,Jason Robards,All the President's Men,26/07/1922,Jason_Robards
278,13095,Djimon Hounsou,Blood Diamond,24/04/1964,Djimon_Hounsou
279,13085,Oliver Reed,Gladiator,13/02/1938,Oliver_Reed
280,12993,Billy Crudup,Almost Famous,08/07/1968,Billy_Crudup
281,12935,Florian Lukas,Good Bye Lenin!,16/03/1973,Florian_Lukas
282,12826,Tom Skerritt,Alien,25/08/1933,Tom_Skerritt
283,12767,Michael Peña,American Hustle,13/01/1976,Michael_Peña
284,12757,Jim Sturgess,21,16/05/1978,Jim_Sturgess
285,12706,Jim Caviezel,The Passion of the Christ,26/09/1968,Jim_Caviezel
286,12615,Jack Warden,...and justice for all.,18/09/1920,Jack_Warden
287,12476,Charles Chaplin,The Great Dictator,1889-04-16,Charles_Chaplin
288,12445,James McAvoy,Filth,21/04/1979,James_McAvoy
289,12284,Channing Tatum,21 Jump Street,26/04/1980,Channing_Tatum
290,12223,Roberto Benigni,La vita è bella,27/10/1952,Roberto_Benigni
291,12154,Richard Dreyfuss,The Goodbye Girl,29/10/1947,Richard_Dreyfuss
292,12154,James D'Arcy,Cloud Atlas,24/08/1975,James_D'Arcy
293,11989,Malcolm McDowell,A Clockwork Orange,13/06/1943,Malcolm_McDowell
294,11962,Peter Lorre,M - Eine Stadt sucht einen Mörder,26/06/1904,Peter_Lorre
295,11849,Armin Mueller-Stahl,Eastern Promises,17/12/1930,Armin_Mueller-Stahl
296,11783,Bill Pullman,Independence Day,17/12/1953,Bill_Pullman
297,11720,James Garner,The Notebook,07/04/1928,James_Garner
298,11697,Robert Shaw,A Man for All Seasons,09/08/1927,Robert_Shaw
299,11627,Thomas Mitchell,Stagecoach,1892-07-11,Thomas_Mitchell
300,11420,William Atherton,Die Hard,30/07/1947,William_Atherton
301,11374,Dan Aykroyd,Ghostbusters,01/07/1952,Dan_Aykroyd
302,11371,Giancarlo Giannini,Quantum of Solace,01/08/1942,Giancarlo_Giannini
303,11306,Diego Luna,Rogue One,29/12/1979,Diego_Luna
304,11240,Gregory Peck,To Kill a Mockingbird,05/04/1916,Gregory_Peck
305,11209,Roy Scheider,Jaws,10/11/1932,Roy_Scheider
306,11180,Mickey Rourke,Sin City,16/09/1952,Mickey_Rourke
307,11167,Danny Glover,Lethal Weapon,22/07/1946,Danny_Glover
308,11140,Dave Franco,Neighbors,12/06/1985,Dave_Franco
309,11113,Aksel Hennie,Max Manus,29/10/1975,Aksel_Hennie
310,11088,Richard Gere,Chicago,31/08/1949,Richard_Gere
311,11029,François Cluzet,Intouchables,21/09/1955,François_Cluzet
312,10978,Dennis Quaid,Far from Heaven,09/04/1954,Dennis_Quaid
313,10930,Cary Grant,Charade,18/01/1904,Cary_Grant
314,10902,James Gandolfini,The Sopranos,18/09/1961,James_Gandolfini
315,10900,Frank Langella,Frost/Nixon,01/01/1938,Frank_Langella
316,10900,Nicholas Hoult,About a Boy,07/12/1989,Nicholas_Hoult
317,10871,Matthew Macfadyen,Succession,17/10/1974,Matthew_Macfadyen
318,10856,Burghart Klaußner,Die fetten Jahre sind vorbei,13/09/1949,Burghart_Klaußner
319,10767,Jamie Bell,Billy Elliot,14/03/1986,Jamie_Bell
320,10752,Dennis Hopper,Easy Rider,17/05/1936,Dennis_Hopper
321,10734,Jürgen Prochnow,Das Boot,10/06/1941,Jürgen_Prochnow
322,10706,Neil Patrick Harris,How I Met Your Mother,15/06/1973,Neil_Patrick_Harris
323,10696,Timothée Chalamet,Call Me by Your Name,27/12/1995,Timothée_Chalamet
324,10685,Armie Hammer,The Social Network,28/08/1986,Armie_Hammer
325,10441,Mads Mikkelsen,Hannibal,22/11/1965,Mads_Mikkelsen
326,10306,Sam Neill,Jurassic Park,14/09/1947,Sam_Neill
327,10299,Omar Sy,Intouchables,20/01/1978,Omar_Sy
328,10289,Peter Sellers,Being There,08/09/1925,Peter_Sellers
329,10278,William Holden,Stalag 17,17/04/1918,William_Holden
330,10223,Gérard Depardieu,Cyrano de Bergerac,27/12/1948,Gérard_Depardieu
331,10163,Leonard Nimoy,Star Trek IV: The Voyage Home,26/03/1931,Leonard_Nimoy
332,10084,Patrick Wilson,The Phantom of the Opera,03/07/1973,Patrick_Wilson
333,10059,Horst Buchholz,La vita è bella,04/12/1933,Horst_Buchholz
334,10041,Josh Hartnett,Lucky Number Slevin,21/07/1978,Josh_Hartnett
335,9930,Woody Allen,Manhattan,30/11/1935,Woody_Allen
336,9917,Jack Black,School of Rock,28/08/1969,Jack_Black
337,9818,Orson Welles,Citizen Kane,06/05/1915,Orson_Welles
338,9818,Adam Driver,Star Wars: Episode VII - The Force Awakens,19/11/1983,Adam_Driver
339,9796,Peter O'Toole,Lawrence of Arabia,02/08/1932,Peter_O'Toole
340,9728,Anthony Perkins,Psycho,04/04/1932,Anthony_Perkins
341,9705,Takashi Shimura,Shichinin no samurai,12/03/1905,Takashi_Shimura
342,9677,John Cusack,Grosse Pointe Blank,28/06/1966,John_Cusack
343,9674,Matt Dillon,There's Something About Mary,18/02/1964,Matt_Dillon
344,9641,Charles Bronson,C'era una volta il West,03/11/1921,Charles_Bronson
345,9624,Treat Williams,Deep Rising,01/12/1951,Treat_Williams
346,9591,Jack Lemmon,The Apartment,08/02/1925,Jack_Lemmon
347,9497,Ashton Kutcher,That '70s Show,07/02/1978,Ashton_Kutcher
348,9378,Chris Pine,Star Trek,26/08/1980,Chris_Pine
349,9378,Zachary Quinto,Star Trek,02/06/1977,Zachary_Quinto
350,9378,Eric Bana,Dirty John,09/08/1968,Eric_Bana
