"show_id","Languages"
"s6442","Urdu"
"s4886","Hindi"
"s4886","Korean"
"s4887","Malayalam"
"s7347","Gujarati"
"s4998","Norwegian"
"s4045","Korean"
"s7376","Italian"
"s6390","Hindi"
"s6573","Taiwanese Mandarin"
"s5976","Icelandic"
"s5567","English"
"s5570","Japanese"
"s7007","English"
"s7007","Dutch"
"s4022","Tagalog"
"s4022","Filipino"
"s5579","English"
"s5440","Korean"
"s5416","Korean"
"s5416","English"
"s2349","English"
"s5429","English"
"s5429","Italian"
"s3745","French"
"s4828","Spanish"
"s4830","Spanish"
"s4831","English"
"s4831","Hindi"
"s6645","English"
"s5436","Korean"
"s2453","Korean"
"s2454","Korean"
"s8506","Korean"
"s4841","Thai"
"s518","Japanese"
"s8015","Italian"
"s5368","English"
"s5375","Spanish"
"s5375","English"
"s3677","English"
"s3677","French"
"s3677","Chinese"
"s3677","German"
"s3677","Italian"
"s3677","Danish"
"s3677","Wolof"
"s4777","Hebrew"
"s6554","Malayalam"
"s8572","Malayalam"
"s5089","Hindi"
"s5089","Telugu"
"s5089","Tamil"
"s6113","English"
"s4216","English"
"s4216","Taiwanese Mandarin"
"s5071","Japanese"
"s5076","English"
"s5076","Spanish"
"s4191","Tamil"
