Position,Points,Name,Known.For,Birth.Date
431,5592,River Phoenix,My Own Private Idaho,23/08/1970
432,5556,Aaron Taylor-Johnson,Nocturnal Animals,13/06/1990
433,5509,Michael Pitt,The Dreamers,10/04/1981
434,5503,Michael Lonsdale,The Day of the Jackal,24/05/1931
435,5380,Eddie Murphy,The Nutty Professor,03/04/1961
436,5378,Marton Csokas,The Amazing Spider-Man 2,30/06/1966
437,5354,Thomas Bo Larsen,Jagten,27/11/1963
438,5349,Gene Wilder,Willy Wonka & the Chocolate Factory,11/06/1933
439,5293,James Spader,The Blacklist,07/02/1960
440,5245,Laurence Olivier,Sleuth,22/05/1907
441,5142,Ben Gazzara,Road House,28/08/1930
442,5118,Pilou Asbæk,Ghost in the Shell,02/03/1982
443,5117,Riccardo Scamarcio,John Wick: Chapter 2,13/11/1979
444,5077,David Kross,The Reader,04/07/1990
445,5069,Alden Ehrenreich,"Hail, Caesar!",22/11/1989
446,5068,Gian Maria Volontè,Per un pugno di dollari,09/04/1933
447,5047,Macaulay Culkin,Home Alone,26/08/1980
448,5045,Emilio Estevez,The Way,12/05/1962
449,5041,Robert Mitchum,Out of the Past,06/08/1917
450,5027,Martin Landau,Ed Wood,20/06/1928
451,5018,Jack Palance,Shane,18/02/1919
452,5018,Michael Ealy,Barbershop,03/08/1973
453,4925,Cary Elwes,Saw,26/10/1962
454,4925,Chris Sarandon,The Nightmare Before Christmas,24/07/1942
455,4843,Roger Moore,Moonraker,14/10/1927
456,4810,Taylor Kitsch,X-Men Origins: Wolverine,08/04/1981
457,4794,James Coburn,Charade,31/08/1928
458,4779,Karl Malden,On the Waterfront,22/03/1912
459,4764,Ben Foster,Hell or High Water,29/10/1980
460,4753,Peter Coyote,Bitter Moon,10/10/1941
461,4734,Peter Fonda,Easy Rider,23/02/1940
462,4689,Niels Arestrup,Un prophète,08/02/1949
463,4684,John Candy,"Planes, Trains & Automobiles",31/10/1950
464,4620,Shahab Hosseini,Forushande,03/02/1974
465,4610,Heino Ferch,Der Untergang,18/08/1963
466,4608,Anatoliy Solonitsyn,Stalker,30/08/1934
467,4601,Steve Coogan,Philomena,14/10/1965
468,4597,Fred MacMurray,Double Indemnity,30/08/1908
469,4558,Omar Sharif,Lawrence of Arabia,10/04/1932
470,4538,Leslie Howard,Pygmalion,1893-04-03
471,4533,Nikolaj Coster-Waldau,Game of Thrones,27/07/1970
472,4453,John Wayne,True Grit,26/05/1907
473,4451,Ralph Macchio,The Karate Kid Part III,04/11/1961
474,4445,Charlie Hunnam,Sons of Anarchy,10/04/1980
475,4400,Sebastian Stan,Captain America: The Winter Soldier,13/08/1982
476,4338,John David Washington,Tenet,28/07/1984
477,4310,Michael Cera,Scott Pilgrim vs. the World,07/06/1988
478,4310,Kieran Culkin,Succession,30/09/1982
479,4282,Kirk Douglas,Spartacus,09/12/1916
480,4256,Chow Yun-Fat,Wo hu cang long,18/05/1955
481,4194,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby,16/07/1967
